instance,seed,1proc-1pils_objective,1proc-1pils_tuning_time,2proc-1pils_objective,2proc-1pils_tuning_time,4proc-1pils_objective,4proc-1pils_tuning_time,8proc-1pils_objective,8proc-1pils_tuning_time,16proc-1pils_objective,16proc-1pils_tuning_time,24proc-1pils_objective,24proc-1pils_tuning_time
supportcase40.mps,7,3.28,4737,4.29,3736,2.96,3613,2.41,3414,,,,
supportcase40.mps,8,,,3.51,3741,2.85,3613,3.39,3414,3.5,2831,,
supportcase40.mps,9,4.33,4735,4.52,3743,2.71,3615,2.37,3415,3.03,2830,2.93,3745
supportcase40.mps,10,3.89,4742,3.87,3740,4.23,3617,2.62,3414,2.8,2831,2.08,3744
supportcase6.mps,1,13.17,2327,13.04,1972,0,2329,0,1619,0,1267,0,1262
supportcase6.mps,2,0.01,2328,0,1961,0,2328,0,1620,,,0,1262
supportcase6.mps,3,13.11,2332,0.01,1969,0,2325,0,1616,0,1268,0,1262
supportcase6.mps,4,0.01,2326,0.09,1967,0.01,2329,0,1619,0,1267,,
supportcase6.mps,5,13.17,2328,0,1962,0,2326,0,1619,0,1268,0,1262
supportcase6.mps,6,13.14,2333,0,1967,0,2326,0,1620,0,1267,0,1262
supportcase6.mps,7,0,2332,0,1970,0,2326,0,1619,,,,
supportcase6.mps,8,,,0.01,1965,0,2330,0,1619,0,1266,,
supportcase6.mps,9,13.17,2333,13.17,1970,0,2329,0,1620,0,1267,0,1261
supportcase6.mps,10,13.17,2325,0,1968,0,2323,0,1620,0,1268,0,1262
var-smallemery-m6j6.mps,1,-1,4686,-1,3927,-1,3271,-1,3060,-1,3180,-1,3059
var-smallemery-m6j6.mps,2,-1,4680,-1,3925,-1,3273,-1,3059,,,-1,3055
var-smallemery-m6j6.mps,3,-1,4680,-1,3927,-1,3273,-1,3060,-1,3179,-1,3059
var-smallemery-m6j6.mps,4,2.34,4679,-1,3930,-1,3272,-1,3058,-1,3181,,
var-smallemery-m6j6.mps,5,-1,4682,-1,3924,-1,3270,-1,3059,,,-1,3059
var-smallemery-m6j6.mps,6,-1,4679,,,-1,3269,-1,3056,-1,3181,-1,3084
var-smallemery-m6j6.mps,7,2.34,4685,-1,3927,-1,3273,-1,3056,,,,
var-smallemery-m6j6.mps,8,,,-1,3927,,,-1,3059,-1,3180,,
var-smallemery-m6j6.mps,9,-1,4679,-1,3926,-1,3271,-1,3058,-1,3182,-1,3061
var-smallemery-m6j6.mps,10,3.32,4683,2.28,3921,-1,3270,-1,3059,-1,3181,-1,3057
