instance,seed,1proc-1pils_objective,1proc-1pils_tuning_time,2proc-1pils_objective,2proc-1pils_tuning_time,2proc-2pils_objective,2proc-2pils_tuning_time,4proc-1pils_objective,4proc-1pils_tuning_time,4proc-4pils_objective,4proc-4pils_tuning_time,8proc-1pils_objective,8proc-1pils_tuning_time,8proc-8pils_objective,8proc-8pils_tuning_time,16proc-1pils_objective,16proc-1pils_tuning_time,16proc-16pils_objective,16proc-16pils_tuning_time,24proc-1pils_objective,24proc-1pils_tuning_time,24proc-2pils_objective,24proc-2pils_tuning_time,24proc-3pils_objective,24proc-3pils_tuning_time,24proc-4pils_objective,24proc-4pils_tuning_time,24proc-6pils_objective,24proc-6pils_tuning_time,24proc-8pils_objective,24proc-8pils_tuning_time,24proc-12pils_objective,24proc-12pils_tuning_time,24proc-24pils_objective,24proc-24pils_tuning_time
mushroom-best.mps,5,15.84,5613,17.13,4012,17.04,2088,9.77,3695,17.04,1345,8.07,3181,17.11,620,0,4123,14.19,367,,,6.35,2159,8.48,1276,14.12,1037,9.69,755,14.15,675,14.15,439,10.68,362
mushroom-best.mps,6,5.62,5026,15.18,3785,11.37,2666,17.05,3307,22.75,1326,,,14.28,679,17.75,3086,11.37,460,0,3721,,,0,1091,0,815,,,0,480,,,8.92,307
mushroom-best.mps,7,12.72,5701,19.08,4185,15.6,2268,16.05,3770,17.1,1171,11.33,4468,12.09,810,11.32,4041,7.76,490,,,16.96,1597,0,1235,11.34,1272,14.12,755,8.5,602,8.87,566,15.61,375
mushroom-best.mps,8,17.1,4801,19.97,3711,17.1,2078,14.21,4127,14.28,1183,14.91,3589,12.73,790,17.36,2786,14.2,491,0,1542,14.22,1708,12.73,1267,17.05,848,12.71,786,14.19,737,13.6,435,19.95,326
mushroom-best.mps,9,15.62,4709,11.58,4304,14.23,2351,15.27,4286,15.65,1325,17.07,3302,14.23,751,17.03,3821,14.14,497,7.56,4060,9.97,1641,,,9.69,924,8.76,704,12.73,529,9.63,501,5.67,430
mushroom-best.mps,10,17.02,4396,17.1,3328,22.18,2306,14.16,4714,17.04,1246,14.19,3498,14.19,811,0,3730,14.22,378,8.48,3495,17.25,1998,8.48,1413,0,1111,8.48,816,8.38,605,12.48,399,17.73,325
neos-1456979.mps,1,5.36,5203,5.97,3526,4.49,2313,4.21,3285,5.37,1168,3.86,2979,4.49,586,3.77,2672,2.27,397,2.64,3315,3.25,1612,,,3.95,796,4.33,594,5.25,489,5.28,390,4.87,258
neos-1456979.mps,2,6.3,4270,6.49,4438,6.31,2151,3.95,3279,5.11,1118,4.45,2576,4.81,636,3.67,2792,4.96,429,3.67,2581,3.58,1449,,,3.11,889,5.06,779,4.87,479,4.9,387,5.08,275
neos-1456979.mps,3,6.01,4255,6.22,3740,4.23,2030,4.23,2675,5.44,1279,3.37,3582,3.78,564,3.83,2592,6.2,369,4.23,2376,,,4.33,1164,,,3.39,624,4.95,534,3.77,399,3.39,255
neos-1456979.mps,4,4.23,4303,5.59,3226,7.74,2000,4.23,2678,5.25,1159,3.9,2781,4.76,585,4.23,2570,4.73,396,,,4.49,1296,,,3.78,750,3.41,634,4.07,532,4.3,348,4.34,290
